"repo","number","title","url"
"jupyter/jupyter","751","In stable docs, search icon (magnifying glass) in top nav doesn't display","https://github.com/jupyter/jupyter/issues/751"
"jupyter/jupyter","739","Update default install guidance","https://github.com/jupyter/jupyter/issues/739"
"jupyter/jupyter","727","pip install on ubuntu doesn't.","https://github.com/jupyter/jupyter/issues/727"
"jupyter/jupyter","704","""Jupyter kernels"" wiki page: table incompletely visible","https://github.com/jupyter/jupyter/issues/704"
"jupyter/jupyter","699","New Documentation Working Group proposal","https://github.com/jupyter/jupyter/issues/699"
"jupyter/jupyter","683","Add persona centric docs","https://github.com/jupyter/jupyter/issues/683"
"jupyter/jupyter","667","Use excalidraw for our manually-created diagrams","https://github.com/jupyter/jupyter/issues/667"
"jupyter/jupyter","657","Refactor the documentation to use the main branch","https://github.com/jupyter/jupyter/issues/657"
"jupyter/jupyter","620","A11y - Jupyter logo does not have enough contrast in dark mode","https://github.com/jupyter/jupyter/issues/620"
"jupyter/jupyter","581","Why have an Advanced Topics section when there is only one ""topic?""","https://github.com/jupyter/jupyter/issues/581"
"jupyter/jupyter","511","Anyone want to help with a round of documentation improvements?","https://github.com/jupyter/jupyter/issues/511"
"jupyter/jupyter","430","Translating Official Documentation to Spanish","https://github.com/jupyter/jupyter/issues/430"
"jupyter/jupyter","424","Notebook server API documentation lacks information about trust","https://github.com/jupyter/jupyter/issues/424"
"jupyter/jupyter","412","Some things we can improve in the documentation","https://github.com/jupyter/jupyter/issues/412"
"jupyter/jupyter","373","Alternative client implementationto Jupyter-Notebook?","https://github.com/jupyter/jupyter/issues/373"
"jupyter/jupyter","306","Create a man page","https://github.com/jupyter/jupyter/issues/306"
"jupyter/jupyter","242","Document JSON config format","https://github.com/jupyter/jupyter/issues/242"
"jupyter/jupyter","220","Glossary in docs","https://github.com/jupyter/jupyter/issues/220"
"jupyter/jupyter","216","Review top-level docs for prospective kernel authors","https://github.com/jupyter/jupyter/issues/216"
"jupyter/jupyter","190","Citing Jupyter","https://github.com/jupyter/jupyter/issues/190"
"jupyter/jupyter","159","[docs/theme] Pay attention to the ""width"" of screenshot.","https://github.com/jupyter/jupyter/issues/159"
"jupyter/jupyter","109","Link to dev-install from Install section.","https://github.com/jupyter/jupyter/issues/109"
"jupyter/jupyter","66","[Docs] list supported mimetype ","https://github.com/jupyter/jupyter/issues/66"
"jupyter/notebook","7428","Document Running Notebook over SSH Tunnel","https://github.com/jupyter/notebook/issues/7428"
"jupyter/notebook","7409","For some reason .so files aren't showing up in the Jupyter Notebook file browser","https://github.com/jupyter/notebook/issues/7409"
"jupyter/notebook","7149","Provide access to the documentation for older version","https://github.com/jupyter/notebook/issues/7149"
"jupyter/notebook","7148","Installation guide (android, termux)","https://github.com/jupyter/notebook/issues/7148"
"jupyter/notebook","7029","Add guidelines for setting up development environment using yarn and npm in CONTRIBUTING.md","https://github.com/jupyter/notebook/issues/7029"
"jupyter/notebook","6981","Rework Notebook 7 docs accessibility section","https://github.com/jupyter/notebook/issues/6981"
"jupyter/notebook","6875","Get versioned Notebook framework trove classifiers on PyPI","https://github.com/jupyter/notebook/issues/6875"
"jupyter/notebook","6849","Revise `pyzmq` requirements in documentation","https://github.com/jupyter/notebook/issues/6849"
"jupyter/notebook","6848","Very poor navigation in new readthedocs builds","https://github.com/jupyter/notebook/issues/6848"
"jupyter/notebook","6680","Add a large deprecation notice to the front-end extensions documentation","https://github.com/jupyter/notebook/issues/6680"
"jupyter/notebook","6659","Document .ipynb_checkpoints directory","https://github.com/jupyter/notebook/issues/6659"
